timestamp,open,high,low,price,volume,24hr_change
1522188638,8099.99,9170.0,0.01,7938.34,1846.09,-2.01,hold
1522283769,7800.86,9170.0,50.0,7915.12,12489.78,2.1399999999999997,hold
1522283830,7800.86,9170.0,50.0,7928.19,12489.78,1.9900000000000002,hold
1522283890,7800.86,9170.0,50.0,7929.7,12489.78,1.69,hold
1522283950,7800.86,9170.0,50.0,7923.38,12489.78,1.6,hold
1522284011,7800.86,9170.0,50.0,7915.64,12489.78,1.44,hold
1522284072,7800.86,9170.0,50.0,7915.64,12489.78,1.35,hold
1522284132,7800.86,9170.0,50.0,7923.39,12489.78,1.21,hold
1522284193,7800.86,9170.0,50.0,7917.01,12489.78,1.35,hold
1522284253,7800.86,9170.0,50.0,7917.01,12489.78,1.48,hold
1522284314,7800.86,9170.0,50.0,7923.39,12489.78,1.41,hold
1522284374,7800.86,9170.0,50.0,7923.39,12489.78,1.49,hold
1522284435,7800.86,9170.0,50.0,7923.38,12489.78,1.49,hold
1522284495,7800.86,9170.0,50.0,7923.39,12489.78,1.49,hold
1522284556,7819.72,9170.0,50.0,7929.97,12489.71,1.43,hold
1522284616,7819.72,9170.0,50.0,7925.44,12489.71,1.48,hold
1522284677,7819.72,9170.0,50.0,7925.45,12489.71,1.4000000000000001,hold
1522284737,7819.72,9170.0,50.0,7925.45,12489.71,1.4000000000000001,hold
1522284798,7819.72,9170.0,50.0,7925.44,12489.71,1.4000000000000001,hold
1522284858,7819.72,9170.0,50.0,7925.44,12489.71,1.4000000000000001,hold
1522284919,7819.72,9170.0,50.0,7932.34,12489.71,1.4000000000000001,hold
1522284979,7819.72,9170.0,50.0,7932.34,12489.71,1.4000000000000001,hold
1522285040,7819.72,9170.0,50.0,7932.33,12489.71,1.46,hold
1522285100,7819.72,9170.0,50.0,7932.34,12489.71,1.52,hold
1522285161,7819.72,9170.0,50.0,7934.99,12489.71,1.6500000000000001,hold
1522285221,7823.51,9170.0,50.0,7935.01,12425.14,1.83,hold
1522285282,7949.99,9170.0,50.0,7935.0,11850.15,1.72,hold
1522285342,9170.0,9170.0,50.0,7935.01,10639.05,1.78,hold
1522285403,9170.0,9170.0,50.0,7936.95,10590.58,1.6400000000000001,hold
1522285463,9170.0,9170.0,50.0,7936.95,10590.58,1.54,hold
